logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
adaptive_value,307,180,0.1,0.49583333333333335,0.1,0.4583333333333333,0.6959547250613558,0.6032441369540213
adaptive_value,307,180,0.25,0.5958333333333333,0.25,0.5833333333333334,0.6959547250613558,0.6032441369540213
adaptive_value,307,180,0.5,0.7333333333333333,0.5,0.575,0.6959547250613558,0.6032441369540213
adaptive_value,307,180,0.75,0.8666666666666667,0.75,0.5666666666666667,0.6959547250613558,0.6032441369540213
adaptive_value,307,240,0.1,0.5291666666666667,0.1,0.7916666666666666,0.6492816007352707,0.628678430162426
adaptive_value,307,240,0.25,0.6333333333333333,0.25,0.7333333333333333,0.6492816007352707,0.628678430162426
adaptive_value,307,240,0.5,0.8,0.5,0.7,0.6492816007352707,0.628678430162426
adaptive_value,307,240,0.75,0.8833333333333333,0.75,0.5833333333333334,0.6492816007352707,0.628678430162426
adaptive_value,401,60,0.1,0.5166666666666667,0.1,0.6666666666666666,0.6727356132670308,0.6730597946531265
adaptive_value,401,60,0.25,0.6125,0.25,0.65,0.6727356132670308,0.6730597946531265
adaptive_value,401,60,0.5,0.75,0.5,0.6,0.6727356132670308,0.6730597946531265
adaptive_value,401,60,0.75,0.8625,0.75,0.5555555555555556,0.6727356132670308,0.6730597946531265
adaptive_value,401,120,0.1,0.5,0.1,0.5,0.6508005621198936,0.6608945002384492
adaptive_value,401,120,0.25,0.6125,0.25,0.65,0.6508005621198936,0.6608945002384492
adaptive_value,401,120,0.5,0.7833333333333333,0.5,0.675,0.6508005621198936,0.6608945002384492
adaptive_value,401,120,0.75,0.9125,0.75,0.6222222222222222,0.6508005621198936,0.6608945002384492
adaptive_value,401,180,0.1,0.5083333333333333,0.1,0.5833333333333334,0.5892082113845448,0.6968775422896737
adaptive_value,401,180,0.25,0.6041666666666666,0.25,0.6166666666666667,0.5892082113845448,0.6968775422896737
adaptive_value,401,180,0.5,0.7625,0.5,0.625,0.5892082113845448,0.6968775422896737
adaptive_value,401,180,0.75,0.8875,0.75,0.5833333333333334,0.5892082113845448,0.6968775422896737
adaptive_value,401,240,0.1,0.5,0.1,0.5,0.5954397330164769,0.6973167447471036
adaptive_value,401,240,0.25,0.6,0.25,0.6,0.5954397330164769,0.6973167447471036
